Source.Name,return_id,transaction_id,product_id,return_date,return_quantity,refund_amount,return_reason,return_method,handled_by_employee
Returns_Chunk1.csv,96,435904,995,06-04-2022 07:56,3,454.68,Late Delivery,Mail,164
Returns_Chunk1.csv,97,188162,20,02-05-2022 20:56,2,68.44,Changed Mind,Pickup,155
Returns_Chunk1.csv,98,327148,640,22-11-2021 05:40,3,77.91,Other,Mail,197
Returns_Chunk1.csv,99,390878,213,15-06-2024 05:06,1,126.05,Wrong Item,Mail,30
Returns_Chunk1.csv,100,64755,991,19-01-2020 10:35,3,266.58,Changed Mind,Mail,40
Returns_Chunk1.csv,101,264886,514,18-05-2022 13:17,3,268.26,Defective,Mail,143
Returns_Chunk1.csv,102,293819,358,12-07-2022 08:07,1,86.33,Other,Mail,136
Returns_Chunk1.csv,103,447114,410,06-10-2023 04:11,1,54.89,Late Delivery,Mail,163
Returns_Chunk1.csv,104,138893,450,26-08-2023 06:34,3,358.5,Late Delivery,In-Store,78
Returns_Chunk1.csv,105,338590,574,14-12-2022 02:57,2,120,Wrong Item,Mail,187
Returns_Chunk1.csv,106,86600,107,10-10-2022 12:49,1,71.19,Other,Pickup,64
Returns_Chunk1.csv,107,398675,796,15-09-2022 07:10,2,172.98,Wrong Item,In-Store,165
Returns_Chunk1.csv,108,273376,675,12-06-2023 08:03,1,148.2,Changed Mind,Pickup,132
Returns_Chunk1.csv,109,335889,580,21-05-2024 06:05,3,164.01,Other,In-Store,77
Returns_Chunk1.csv,110,10005,93,27-07-2024 23:23,3,597.18,Defective,Pickup,118
Returns_Chunk1.csv,111,400046,831,27-01-2023 01:30,3,558.81,Late Delivery,In-Store,119
Returns_Chunk1.csv,112,480216,538,12-11-2022 23:52,2,335.66,Changed Mind,Pickup,115
Returns_Chunk1.csv,113,225515,450,06-02-2022 11:20,1,171.39,Defective,Mail,112
Returns_Chunk1.csv,114,427885,599,05-10-2021 10:32,2,302.52,Other,Pickup,51
Returns_Chunk1.csv,115,336765,90,15-07-2023 22:48,2,59.88,Late Delivery,In-Store,85
Returns_Chunk1.csv,116,22633,154,08-04-2023 13:58,2,95.72,Wrong Item,In-Store,121
Returns_Chunk1.csv,117,218940,289,31-03-2023 07:16,2,317.26,Changed Mind,Pickup,151
Returns_Chunk1.csv,118,363990,854,16-07-2022 15:56,3,589.92,Late Delivery,Pickup,74
Returns_Chunk1.csv,119,240846,722,16-09-2021 17:49,1,61.67,Changed Mind,Pickup,59
Returns_Chunk1.csv,120,202638,43,24-11-2021 10:13,1,74.16,Defective,Mail,123
Returns_Chunk1.csv,121,386508,631,18-10-2022 04:32,3,212.58,Other,In-Store,160
Returns_Chunk1.csv,122,299207,495,16-03-2022 18:59,1,119.83,Late Delivery,Mail,171
Returns_Chunk1.csv,123,108768,909,06-02-2023 12:31,3,312.57,Wrong Item,In-Store,194
Returns_Chunk1.csv,124,85645,347,16-12-2022 06:42,3,271.95,Late Delivery,Pickup,95
Returns_Chunk1.csv,125,46485,595,18-10-2022 03:26,2,40.98,Wrong Item,In-Store,7
Returns_Chunk1.csv,126,349018,117,25-05-2020 19:42,3,254.82,Other,Pickup,41
Returns_Chunk1.csv,127,376800,875,28-11-2021 00:05,1,151.12,Late Delivery,In-Store,41
Returns_Chunk1.csv,128,120874,321,16-01-2024 19:15,1,197.31,Changed Mind,In-Store,133
Returns_Chunk1.csv,129,222738,871,06-07-2023 17:56,1,116.06,Defective,Mail,12
Returns_Chunk1.csv,130,315598,876,15-01-2023 16:43,1,72.57,Changed Mind,In-Store,108
Returns_Chunk1.csv,131,205314,457,23-02-2022 00:49,1,162.37,Late Delivery,Pickup,111
Returns_Chunk1.csv,132,62001,947,19-09-2020 10:10,3,69.33,Late Delivery,Mail,124
Returns_Chunk1.csv,133,106776,204,18-06-2023 00:44,2,116.12,Late Delivery,Mail,14
Returns_Chunk1.csv,134,324480,245,10-11-2020 06:12,1,125.09,Wrong Item,Mail,43
Returns_Chunk1.csv,135,39973,593,13-04-2021 01:24,2,246.52,Late Delivery,In-Store,191
Returns_Chunk1.csv,136,396075,795,04-07-2021 22:50,2,261.18,Other,In-Store,158
Returns_Chunk1.csv,137,199991,60,21-12-2022 03:39,2,143.08,Defective,In-Store,26
Returns_Chunk1.csv,138,292928,973,17-11-2023 01:08,1,16.71,Wrong Item,In-Store,165
Returns_Chunk1.csv,139,414751,281,07-06-2023 15:47,2,317.56,Wrong Item,In-Store,46
Returns_Chunk1.csv,140,33762,883,12-04-2023 04:10,1,175.18,Defective,In-Store,136
Returns_Chunk1.csv,141,334907,74,19-12-2023 12:31,2,55.02,Late Delivery,Mail,145
Returns_Chunk1.csv,142,391408,350,04-04-2023 20:35,1,43.7,Defective,In-Store,60
Returns_Chunk1.csv,143,15199,213,16-04-2023 16:08,2,168.38,Wrong Item,In-Store,130
Returns_Chunk1.csv,144,141977,174,13-05-2023 03:37,1,107.07,Wrong Item,Pickup,117
Returns_Chunk1.csv,145,169320,10,01-12-2024 07:21,2,157.9,Late Delivery,Pickup,111
Returns_Chunk1.csv,146,178415,763,23-11-2020 12:02,1,29.76,Other,Mail,56
Returns_Chunk1.csv,147,114145,594,24-07-2020 18:51,1,56.53,Other,Pickup,194
Returns_Chunk1.csv,148,491518,290,07-11-2022 14:42,1,155.5,Late Delivery,Mail,100
Returns_Chunk1.csv,149,163383,634,07-12-2022 18:43,2,264.18,Changed Mind,Mail,157
Returns_Chunk1.csv,150,159732,140,06-05-2023 20:55,3,341.04,Wrong Item,In-Store,186
Returns_Chunk1.csv,151,318678,146,14-02-2022 08:30,2,49.1,Defective,Pickup,31
Returns_Chunk1.csv,152,209022,749,25-12-2020 23:39,2,205.54,Changed Mind,Pickup,150
Returns_Chunk1.csv,153,79240,43,28-03-2023 12:03,1,86.74,Other,In-Store,54
Returns_Chunk1.csv,154,357759,774,22-08-2021 04:34,3,403.44,Defective,Mail,113
Returns_Chunk1.csv,155,218834,103,16-04-2023 13:56,2,95.74,Wrong Item,Mail,47
Returns_Chunk1.csv,156,334437,67,21-07-2023 05:16,3,470.82,Wrong Item,In-Store,4
Returns_Chunk1.csv,157,149886,562,16-09-2020 19:10,1,84.06,Late Delivery,Mail,9
Returns_Chunk1.csv,158,276853,300,04-07-2023 10:30,1,44.46,Wrong Item,Pickup,160
Returns_Chunk1.csv,159,324121,955,26-01-2023 17:28,1,7.54,Wrong Item,Mail,150
Returns_Chunk1.csv,160,269930,714,05-06-2020 06:11,1,192.12,Wrong Item,In-Store,181
Returns_Chunk1.csv,161,54911,524,30-01-2023 08:04,2,46.48,Changed Mind,In-Store,184
Returns_Chunk1.csv,162,400027,669,26-05-2024 06:44,1,146.51,Late Delivery,In-Store,63
Returns_Chunk1.csv,163,107274,817,16-06-2023 00:57,1,187.46,Wrong Item,Pickup,113
Returns_Chunk1.csv,164,396029,489,16-02-2020 11:19,1,59.05,Other,Mail,171
Returns_Chunk1.csv,165,342228,230,13-03-2020 14:50,2,22.98,Wrong Item,In-Store,101
Returns_Chunk1.csv,166,119247,234,11-01-2024 22:14,1,185.36,Defective,Mail,7
Returns_Chunk1.csv,167,491325,746,03-07-2022 15:51,1,193.5,Late Delivery,In-Store,194
Returns_Chunk1.csv,168,52437,715,06-11-2023 01:00,2,348.36,Other,Pickup,90
Returns_Chunk1.csv,169,495062,144,18-04-2020 05:59,3,480.69,Changed Mind,Mail,125
Returns_Chunk1.csv,170,367347,182,29-05-2020 02:31,2,71.66,Changed Mind,Mail,166
Returns_Chunk1.csv,171,332502,585,17-04-2024 13:13,1,160.48,Changed Mind,Pickup,113
Returns_Chunk1.csv,172,390748,326,01-07-2024 06:00,1,193.59,Other,Pickup,182
Returns_Chunk1.csv,173,307287,938,27-05-2020 01:37,1,165.07,Late Delivery,Mail,172
Returns_Chunk1.csv,174,124858,314,30-03-2022 17:22,1,40.02,Changed Mind,Pickup,172
Returns_Chunk1.csv,175,196978,533,26-11-2020 07:35,2,369.46,Other,Mail,143
Returns_Chunk1.csv,176,120472,63,06-07-2021 13:16,1,196.24,Wrong Item,Mail,14
Returns_Chunk1.csv,177,23660,86,05-10-2023 13:00,2,214.7,Wrong Item,Pickup,193
Returns_Chunk1.csv,178,18848,857,28-08-2020 15:09,1,30.04,Wrong Item,Mail,135
Returns_Chunk1.csv,179,61217,270,14-10-2024 04:18,1,51.53,Wrong Item,Mail,171
Returns_Chunk1.csv,180,465417,453,26-03-2022 21:01,3,343.14,Wrong Item,Mail,97
Returns_Chunk1.csv,181,391185,926,20-10-2024 00:13,3,234.21,Changed Mind,In-Store,76
Returns_Chunk1.csv,182,301889,5,03-03-2023 11:22,2,302.48,Late Delivery,Pickup,139
Returns_Chunk1.csv,183,209882,866,14-02-2024 12:20,1,156.28,Other,Pickup,102
Returns_Chunk1.csv,184,243644,299,26-03-2023 01:26,1,81.29,Changed Mind,Mail,133
Returns_Chunk1.csv,185,477953,845,31-03-2020 01:13,1,145.8,Changed Mind,Mail,140
Returns_Chunk1.csv,186,150161,198,09-03-2021 02:43,3,392.91,Wrong Item,In-Store,144
Returns_Chunk1.csv,187,275181,661,12-10-2020 09:30,2,315.4,Changed Mind,In-Store,16
Returns_Chunk1.csv,188,391079,771,13-05-2021 13:03,3,429.12,Changed Mind,Mail,83
Returns_Chunk1.csv,189,244284,646,06-02-2020 09:46,1,6.82,Other,Pickup,186
Returns_Chunk1.csv,190,337666,213,01-12-2020 03:41,1,161.03,Other,In-Store,62
Returns_Chunk1.csv,191,163871,104,20-02-2022 07:13,3,193.89,Other,In-Store,78
Returns_Chunk1.csv,192,357308,388,08-03-2021 20:30,1,22.31,Wrong Item,Mail,167
Returns_Chunk1.csv,193,373799,869,02-09-2021 20:55,2,40.86,Changed Mind,Pickup,151
Returns_Chunk1.csv,194,142018,750,24-06-2023 20:02,2,360.52,Defective,Pickup,124
Returns_Chunk1.csv,195,133900,335,19-11-2022 15:36,2,339.08,Late Delivery,Mail,177
Returns_Chunk1.csv,196,353154,390,27-08-2021 15:58,2,235.14,Wrong Item,In-Store,174
Returns_Chunk1.csv,197,292052,727,10-08-2021 18:29,1,33.13,Other,Pickup,109
Returns_Chunk1.csv,198,370332,11,26-12-2024 14:47,1,123.41,Late Delivery,Mail,80
Returns_Chunk1.csv,199,324793,38,21-06-2020 09:36,1,198.93,Wrong Item,Pickup,47
Returns_Chunk1.csv,200,483644,487,18-12-2022 14:14,2,18.9,Defective,In-Store,5
Returns_Chunk1.csv,201,296683,969,14-08-2020 08:08,2,88.6,Defective,Pickup,149
Returns_Chunk1.csv,202,314920,353,26-04-2022 08:44,3,232.62,Changed Mind,In-Store,70
Returns_Chunk1.csv,203,118975,545,18-10-2023 20:24,1,19.7,Late Delivery,Pickup,131
Returns_Chunk1.csv,204,218885,54,03-12-2023 11:11,3,277.68,Other,Pickup,87
Returns_Chunk1.csv,205,317556,105,14-01-2022 09:38,2,388.32,Other,Pickup,143
Returns_Chunk1.csv,206,288281,746,29-08-2023 01:18,1,47.54,Late Delivery,In-Store,21
Returns_Chunk1.csv,207,428688,336,22-04-2023 18:25,1,87.84,Wrong Item,Mail,177
Returns_Chunk1.csv,208,93331,992,03-07-2024 10:09,2,395.24,Wrong Item,Pickup,56
Returns_Chunk1.csv,209,355272,956,03-03-2022 17:07,2,390.4,Other,Mail,1
Returns_Chunk1.csv,210,264842,203,12-08-2024 08:11,3,453.36,Other,In-Store,124
Returns_Chunk1.csv,211,231494,360,17-12-2023 10:33,2,141.28,Wrong Item,Pickup,181
Returns_Chunk1.csv,212,104873,464,05-01-2022 02:54,1,48.3,Changed Mind,Pickup,188
Returns_Chunk1.csv,213,136246,976,04-02-2024 01:47,1,196.25,Changed Mind,In-Store,102
Returns_Chunk1.csv,214,263652,959,29-01-2020 04:41,2,218.74,Other,In-Store,139
Returns_Chunk1.csv,215,287536,641,17-03-2022 04:49,1,192.2,Other,Pickup,55
Returns_Chunk1.csv,216,336210,624,17-05-2022 13:32,1,80.11,Other,Mail,85
Returns_Chunk1.csv,217,136517,438,08-11-2022 22:05,2,171.44,Changed Mind,In-Store,114
Returns_Chunk1.csv,218,61897,897,25-04-2023 11:02,2,27.02,Changed Mind,Mail,49
Returns_Chunk1.csv,219,227603,595,10-04-2022 16:50,1,158.73,Wrong Item,Pickup,36
Returns_Chunk1.csv,220,444297,298,27-10-2020 20:08,2,278.28,Late Delivery,In-Store,7
Returns_Chunk1.csv,221,476106,868,25-03-2021 04:22,2,114.26,Defective,Mail,27
Returns_Chunk1.csv,222,102699,387,15-04-2022 14:13,2,34.7,Defective,Mail,52
Returns_Chunk1.csv,223,488169,382,13-10-2023 07:35,1,186.49,Defective,Mail,126
Returns_Chunk1.csv,224,369220,138,17-11-2021 10:50,2,138.88,Changed Mind,Mail,64
Returns_Chunk1.csv,225,30687,486,21-07-2021 15:48,2,82.2,Other,Mail,39
Returns_Chunk1.csv,226,251135,553,20-09-2020 03:56,1,121.85,Defective,Mail,157
Returns_Chunk1.csv,227,449896,55,21-08-2021 19:33,2,227.24,Changed Mind,Mail,98
Returns_Chunk1.csv,228,489529,205,30-07-2021 21:00,1,179.85,Other,In-Store,142
Returns_Chunk1.csv,229,18372,952,24-05-2021 06:47,1,18.33,Late Delivery,Mail,190
Returns_Chunk1.csv,230,10522,4,06-01-2021 16:00,1,61.84,Wrong Item,Mail,156
Returns_Chunk1.csv,231,15543,58,26-05-2021 08:14,1,88.9,Wrong Item,In-Store,165
Returns_Chunk1.csv,232,277438,242,02-07-2022 11:33,1,160.84,Changed Mind,In-Store,142
Returns_Chunk1.csv,233,466799,132,03-11-2022 09:53,1,169.64,Defective,In-Store,118
Returns_Chunk1.csv,234,310432,333,24-11-2020 15:04,1,66.09,Other,Mail,44
Returns_Chunk1.csv,235,386601,11,26-12-2022 00:32,2,373.58,Wrong Item,Pickup,39
Returns_Chunk1.csv,236,177968,954,24-08-2023 04:07,2,359.76,Changed Mind,Pickup,54
Returns_Chunk1.csv,237,299783,361,02-01-2023 08:51,3,97.29,Wrong Item,Mail,90
Returns_Chunk1.csv,238,10075,32,11-06-2023 08:37,2,297.82,Changed Mind,Pickup,123
Returns_Chunk1.csv,239,111160,487,10-06-2021 10:04,1,18.45,Defective,Pickup,149
Returns_Chunk1.csv,240,181450,870,01-12-2024 10:46,1,111.26,Defective,Mail,37
Returns_Chunk1.csv,241,317165,193,05-02-2021 05:59,3,133.38,Wrong Item,Pickup,135
Returns_Chunk1.csv,242,75848,201,05-08-2023 10:39,1,98.95,Wrong Item,Mail,191
Returns_Chunk1.csv,243,48191,367,04-03-2021 01:29,3,282.72,Wrong Item,Pickup,10
Returns_Chunk1.csv,244,137966,69,16-09-2023 12:58,2,268.06,Late Delivery,In-Store,157
Returns_Chunk1.csv,245,44452,234,07-09-2022 07:17,3,368.1,Changed Mind,Mail,70
Returns_Chunk1.csv,246,470312,560,20-08-2021 08:13,3,241.62,Changed Mind,In-Store,32
Returns_Chunk1.csv,247,389381,809,10-07-2024 12:30,2,383.06,Other,In-Store,121
Returns_Chunk1.csv,248,255294,90,01-03-2024 08:02,3,370.14,Changed Mind,Mail,183
Returns_Chunk1.csv,249,131027,951,19-04-2020 06:04,1,192.24,Defective,Pickup,69
Returns_Chunk1.csv,250,187643,7,05-11-2024 15:03,1,139.89,Other,Pickup,117
Returns_Chunk1.csv,251,178507,870,17-10-2021 09:41,1,163.14,Other,Pickup,3
Returns_Chunk1.csv,252,202540,315,06-05-2022 20:14,3,573.81,Changed Mind,Pickup,163
Returns_Chunk1.csv,253,33637,123,20-04-2021 11:54,2,128.48,Defective,In-Store,157
Returns_Chunk1.csv,254,35801,997,19-07-2020 16:49,2,373.22,Wrong Item,In-Store,197
Returns_Chunk1.csv,255,450947,254,18-05-2021 04:36,1,73.82,Other,Pickup,143
Returns_Chunk1.csv,256,472086,697,05-02-2023 23:48,1,194.15,Late Delivery,In-Store,181
Returns_Chunk1.csv,257,468835,862,02-08-2024 21:31,1,14.85,Late Delivery,Pickup,43
Returns_Chunk1.csv,258,101915,354,24-07-2024 07:15,3,363.66,Other,Pickup,102
Returns_Chunk1.csv,259,352795,183,11-02-2023 04:53,2,327.84,Other,Mail,40
Returns_Chunk1.csv,260,204648,570,15-01-2020 08:59,2,296.58,Other,Pickup,147
Returns_Chunk1.csv,261,359535,13,11-11-2021 21:28,2,342.3,Changed Mind,Pickup,32
Returns_Chunk1.csv,262,219046,639,17-12-2022 10:08,3,224.58,Changed Mind,In-Store,13
Returns_Chunk1.csv,263,418251,25,23-07-2024 00:08,3,497.91,Wrong Item,In-Store,129
Returns_Chunk1.csv,264,5027,517,10-06-2022 19:16,3,303,Changed Mind,Mail,174
Returns_Chunk1.csv,265,355833,70,17-02-2022 17:24,3,339.39,Late Delivery,Pickup,130
Returns_Chunk1.csv,266,9248,797,17-05-2022 21:32,2,376.96,Late Delivery,In-Store,70
Returns_Chunk1.csv,267,374659,335,26-06-2023 09:47,2,325.06,Other,Pickup,115
Returns_Chunk1.csv,268,433583,129,11-07-2021 03:04,3,465.45,Other,In-Store,9
Returns_Chunk1.csv,269,479384,828,10-08-2024 04:43,1,40.98,Late Delivery,Pickup,52
Returns_Chunk1.csv,270,356277,211,06-06-2023 11:40,3,212.7,Other,Pickup,169
Returns_Chunk1.csv,271,492782,674,21-03-2021 06:09,2,33.96,Defective,In-Store,149
Returns_Chunk1.csv,272,237970,697,09-08-2022 23:17,2,261.38,Defective,Mail,58
Returns_Chunk1.csv,273,136167,841,16-11-2021 06:52,2,80.06,Defective,Mail,69
Returns_Chunk1.csv,274,280704,211,08-08-2021 19:33,3,101.4,Late Delivery,Mail,6
Returns_Chunk1.csv,275,169388,540,10-07-2022 09:23,3,538.14,Late Delivery,In-Store,74
Returns_Chunk1.csv,276,177009,68,25-06-2023 17:06,1,48.66,Defective,In-Store,110
Returns_Chunk1.csv,277,27809,497,01-06-2023 11:56,1,166.37,Wrong Item,In-Store,171
Returns_Chunk1.csv,278,264767,678,27-03-2022 10:27,2,115.46,Changed Mind,Pickup,133
Returns_Chunk1.csv,279,157476,736,12-10-2024 15:33,1,35.67,Wrong Item,Mail,122
Returns_Chunk1.csv,280,27607,353,26-01-2020 20:39,1,18.3,Late Delivery,In-Store,5
Returns_Chunk1.csv,281,20146,814,04-03-2020 00:51,1,145.75,Defective,In-Store,47
Returns_Chunk1.csv,282,315666,113,13-12-2021 21:17,1,79.55,Wrong Item,Pickup,116
