payment_id,payment_type,payment_status
122,Credit Card,Refunded
123,Credit Card,Failed
124,UPI,Refunded
125,Digital Wallet,Failed
126,Debit Card,Completed
127,Credit Card,Completed
128,Digital Wallet,Completed
129,Credit Card,Pending
130,Bank Transfer,Completed
131,Credit Card,Pending
132,UPI,Pending
133,Cash,Pending
134,Debit Card,Completed
135,Debit Card,Failed
136,Digital Wallet,Failed
137,Debit Card,Refunded
138,Digital Wallet,Completed
139,UPI,Refunded
140,UPI,Failed
141,Digital Wallet,Refunded
142,Digital Wallet,Refunded
143,Credit Card,Pending
144,Credit Card,Pending
145,UPI,Failed
146,Digital Wallet,Completed
147,Bank Transfer,Failed
148,Bank Transfer,Refunded
149,Cash,Refunded
150,Digital Wallet,Completed
151,UPI,Failed
152,Digital Wallet,Pending
153,UPI,Refunded
154,UPI,Failed
155,Digital Wallet,Completed
156,Cash,Pending
157,UPI,Refunded
158,UPI,Completed
159,Debit Card,Completed
160,Digital Wallet,Pending
161,UPI,Pending
162,Bank Transfer,Refunded
163,Cash,Refunded
164,Digital Wallet,Completed
165,UPI,Pending
166,UPI,Pending
167,Bank Transfer,Failed
168,Credit Card,Completed
169,Credit Card,Pending
170,Debit Card,Refunded
171,Cash,Pending
172,Bank Transfer,Failed
173,Bank Transfer,Pending
174,Bank Transfer,Failed
175,UPI,Completed
176,Cash,Refunded
177,Cash,Failed
178,Debit Card,Refunded
179,Cash,Failed
180,UPI,Pending
181,UPI,Pending
182,UPI,Refunded
183,Cash,Refunded
184,Bank Transfer,Failed
185,Digital Wallet,Failed
186,Credit Card,Pending
187,Debit Card,Completed
188,Digital Wallet,Refunded
189,Bank Transfer,Pending
190,Bank Transfer,Pending
191,Credit Card,Pending
192,Credit Card,Failed
193,Credit Card,Refunded
194,Debit Card,Refunded
195,Credit Card,Pending
196,Bank Transfer,Pending
197,UPI,Completed
198,Cash,Failed
199,Debit Card,Refunded
200,Cash,Failed
201,Bank Transfer,Pending
202,Debit Card,Completed
203,Digital Wallet,Failed
204,Debit Card,Failed
205,Debit Card,Pending
206,Bank Transfer,Refunded
207,Digital Wallet,Failed
208,Digital Wallet,Completed
209,Digital Wallet,Completed
210,Bank Transfer,Pending
211,Credit Card,Pending
212,Bank Transfer,Completed
213,Cash,Completed
214,Cash,Failed
215,Cash,Refunded
216,Digital Wallet,Failed
217,Credit Card,Pending
218,Cash,Completed
219,Cash,Completed
220,Debit Card,Pending
221,Digital Wallet,Pending
222,Bank Transfer,Pending
223,Bank Transfer,Pending
224,Credit Card,Completed
225,Bank Transfer,Completed
226,Cash,Failed
227,Bank Transfer,Completed
228,Digital Wallet,Pending
229,Digital Wallet,Failed
230,Debit Card,Failed
231,Digital Wallet,Failed
232,Bank Transfer,Completed
233,Cash,Completed
234,Credit Card,Completed
235,Bank Transfer,Pending
236,Cash,Refunded
237,Bank Transfer,Failed
238,Digital Wallet,Refunded
239,UPI,Completed
240,Digital Wallet,Completed
241,UPI,Completed
242,Debit Card,Failed
243,UPI,Refunded
244,UPI,Completed
245,Credit Card,Completed
246,Debit Card,Failed
247,Debit Card,Failed
248,Credit Card,Pending
249,Digital Wallet,Completed
250,UPI,Completed
251,Debit Card,Pending
252,Debit Card,Completed
253,UPI,Failed
254,UPI,Refunded
255,Digital Wallet,Pending
256,UPI,Refunded
257,Cash,Refunded
258,Bank Transfer,Pending
259,UPI,Completed
260,Cash,Completed
261,Cash,Failed
262,UPI,Refunded
263,Credit Card,Refunded
264,Debit Card,Pending
265,Digital Wallet,Refunded
266,Cash,Pending
267,UPI,Completed
268,UPI,Completed
269,Debit Card,Pending
270,Credit Card,Failed
271,Digital Wallet,Completed
272,Debit Card,Completed
273,Credit Card,Failed
274,UPI,Failed
275,Cash,Pending
276,UPI,Pending
277,Cash,Pending
278,Credit Card,Completed
279,UPI,Refunded
280,Digital Wallet,Failed
281,Digital Wallet,Pending
282,Credit Card,Failed
283,Credit Card,Completed
284,Bank Transfer,Completed
285,UPI,Completed
286,Digital Wallet,Refunded
287,Cash,Completed
288,Digital Wallet,Completed
289,Cash,Refunded
290,Digital Wallet,Failed
291,Digital Wallet,Pending
292,Credit Card,Pending
293,Digital Wallet,Completed
294,UPI,Failed
295,Credit Card,Failed
296,UPI,Pending
297,Cash,Refunded
298,UPI,Refunded
299,Digital Wallet,Completed
300,Debit Card,Failed
301,Cash,Pending
302,Bank Transfer,Completed
303,Bank Transfer,Completed
304,Cash,Pending
305,UPI,Refunded
306,Bank Transfer,Failed
307,UPI,Pending
308,Debit Card,Completed
309,Credit Card,Failed
310,Debit Card,Pending
311,Credit Card,Completed
312,Debit Card,Failed
313,Digital Wallet,Completed
314,Credit Card,Pending
315,Bank Transfer,Completed
316,Cash,Failed
317,Bank Transfer,Completed
318,Bank Transfer,Pending
319,Debit Card,Failed
320,Digital Wallet,Pending
321,Cash,Pending
322,Cash,Failed
323,UPI,Failed
324,Debit Card,Pending
325,UPI,Completed
326,Cash,Pending
327,Debit Card,Pending
328,Bank Transfer,Failed
329,Credit Card,Completed
330,Debit Card,Failed
331,Debit Card,Pending
332,Credit Card,Failed
333,Bank Transfer,Completed
334,Credit Card,Refunded
335,Bank Transfer,Refunded
336,Bank Transfer,Refunded
337,UPI,Pending
338,Debit Card,Refunded
339,Debit Card,Refunded
340,Cash,Refunded
341,Cash,Refunded
342,UPI,Pending
343,Bank Transfer,Completed
344,Digital Wallet,Refunded
345,UPI,Pending
346,Digital Wallet,Refunded
347,Cash,Failed
348,UPI,Pending
349,Cash,Refunded
350,Cash,Completed
351,Debit Card,Failed
352,Credit Card,Pending
353,Debit Card,Pending
354,Bank Transfer,Failed
355,Digital Wallet,Pending
356,Digital Wallet,Failed
357,Bank Transfer,Refunded
358,Bank Transfer,Refunded
359,UPI,Refunded
360,Bank Transfer,Completed
361,Cash,Refunded
362,Credit Card,Pending
363,Debit Card,Refunded
364,Debit Card,Refunded
365,Digital Wallet,Pending
366,Debit Card,Failed
367,Debit Card,Refunded
368,Debit Card,Completed
369,UPI,Pending
370,Bank Transfer,Failed
371,UPI,Failed
372,Digital Wallet,Refunded
373,Credit Card,Refunded
374,Digital Wallet,Pending
375,Cash,Failed
376,Bank Transfer,Pending
377,Bank Transfer,Completed
378,UPI,Pending
379,Bank Transfer,Completed
380,Credit Card,Completed
381,Credit Card,Refunded
382,Digital Wallet,Refunded
383,Digital Wallet,Pending
384,Credit Card,Failed
385,Debit Card,Completed
386,Debit Card,Completed
387,UPI,Refunded
388,Bank Transfer,Failed
389,Debit Card,Pending
390,Credit Card,Refunded
391,Credit Card,Pending
392,Debit Card,Completed
393,Debit Card,Pending
394,Bank Transfer,Completed
395,Debit Card,Refunded
396,Cash,Completed
397,Debit Card,Pending
398,Debit Card,Failed
399,Bank Transfer,Completed
400,Debit Card,Completed
401,Credit Card,Refunded
402,Credit Card,Refunded
403,Digital Wallet,Refunded
404,Debit Card,Completed
405,Bank Transfer,Refunded
406,UPI,Failed
407,Bank Transfer,Completed
408,UPI,Completed
409,Bank Transfer,Refunded
410,Credit Card,Refunded
411,Cash,Failed
412,Bank Transfer,Pending
413,Bank Transfer,Failed
414,Digital Wallet,Completed
415,UPI,Failed
416,Cash,Pending
417,Cash,Pending
418,Bank Transfer,Pending
419,Bank Transfer,Pending
420,Cash,Refunded
421,Debit Card,Failed
422,Cash,Refunded
423,UPI,Completed
424,UPI,Failed
425,UPI,Refunded
426,Cash,Failed
427,UPI,Completed
428,UPI,Failed
429,Debit Card,Failed
430,Cash,Completed
431,Bank Transfer,Failed
432,Debit Card,Refunded
433,Digital Wallet,Refunded
434,Digital Wallet,Failed
435,Digital Wallet,Refunded
436,Debit Card,Refunded
437,UPI,Failed
438,Digital Wallet,Completed
439,Credit Card,Completed
440,Digital Wallet,Pending
441,Digital Wallet,Pending
442,Cash,Completed
443,Bank Transfer,Pending
444,Credit Card,Failed
445,Credit Card,Pending
446,UPI,Refunded
447,Credit Card,Refunded
448,Digital Wallet,Refunded
449,Digital Wallet,Refunded
450,UPI,Failed
451,Cash,Failed
452,Digital Wallet,Completed
453,Bank Transfer,Refunded
454,UPI,Refunded
455,Cash,Refunded
456,Cash,Failed
457,Credit Card,Pending
458,Credit Card,Completed
459,Digital Wallet,Failed
460,UPI,Failed
461,Credit Card,Completed
462,Debit Card,Refunded
463,Cash,Failed
464,Cash,Pending
465,Digital Wallet,Failed
466,Digital Wallet,Failed
467,Credit Card,Pending
468,Digital Wallet,Refunded
469,Cash,Pending
470,Credit Card,Pending
471,Cash,Completed
472,Cash,Pending
473,Credit Card,Refunded
474,Digital Wallet,Pending
475,Digital Wallet,Refunded
476,Credit Card,Pending
477,Credit Card,Refunded
478,Cash,Pending
479,Cash,Pending
480,Bank Transfer,Refunded
481,Digital Wallet,Pending
482,Bank Transfer,Refunded
483,Cash,Refunded
484,Debit Card,Completed
485,Cash,Refunded
486,Bank Transfer,Pending
487,UPI,Failed
488,UPI,Pending
489,Credit Card,Completed
490,UPI,Completed
491,Debit Card,Pending
492,Bank Transfer,Refunded
493,Debit Card,Completed
494,Cash,Pending
495,Credit Card,Pending
496,Debit Card,Failed
497,UPI,Completed
498,UPI,Failed
499,Credit Card,Pending
500,Cash,Refunded
501,UPI,Completed
502,Debit Card,Failed
503,Debit Card,Completed
504,Digital Wallet,Completed
505,Bank Transfer,Failed
506,UPI,Refunded
507,Credit Card,Completed
508,Cash,Completed
509,Digital Wallet,Completed
510,Credit Card,Pending
511,Credit Card,Pending
512,Debit Card,Failed
513,Debit Card,Completed
514,UPI,Pending
515,Digital Wallet,Failed
516,Cash,Failed
517,Debit Card,Failed
518,Digital Wallet,Refunded
519,Debit Card,Pending
520,Digital Wallet,Refunded
521,Digital Wallet,Failed
522,UPI,Pending
523,Debit Card,Refunded
524,Bank Transfer,Pending
525,Debit Card,Completed
526,UPI,Failed
527,Debit Card,Completed
528,Digital Wallet,Refunded
529,Cash,Pending
530,UPI,Pending
531,Credit Card,Pending
532,Credit Card,Failed
533,Digital Wallet,Pending
534,Debit Card,Failed
535,Bank Transfer,Refunded
536,UPI,Refunded
537,Digital Wallet,Failed
538,Credit Card,Failed
539,Debit Card,Pending
540,Digital Wallet,Refunded
541,Bank Transfer,Completed
542,Credit Card,Completed
543,Debit Card,Pending
544,Bank Transfer,Failed
545,Debit Card,Completed
546,Bank Transfer,Pending
547,Cash,Pending
548,UPI,Refunded
549,Credit Card,Refunded
550,UPI,Refunded
551,Bank Transfer,Completed
552,Cash,Completed
553,Bank Transfer,Refunded
554,Credit Card,Pending
555,Credit Card,Completed
556,Digital Wallet,Completed
557,Digital Wallet,Failed
558,Bank Transfer,Failed
559,Debit Card,Refunded
560,Digital Wallet,Pending
561,Bank Transfer,Failed
562,UPI,Pending
563,Cash,Completed
564,Bank Transfer,Failed
565,UPI,Pending
566,Credit Card,Refunded
567,Bank Transfer,Failed
568,UPI,Refunded
569,UPI,Failed
570,Digital Wallet,Pending
571,Debit Card,Completed
572,Bank Transfer,Refunded
573,Bank Transfer,Pending
574,Credit Card,Pending
575,Digital Wallet,Pending
576,Credit Card,Pending
577,Cash,Pending
578,Digital Wallet,Refunded
579,Credit Card,Refunded
580,Credit Card,Failed
581,Debit Card,Refunded
582,Debit Card,Failed
583,Debit Card,Refunded
584,Digital Wallet,Refunded
585,Debit Card,Failed
586,Credit Card,Refunded
587,Bank Transfer,Failed
588,Credit Card,Completed
589,Credit Card,Refunded
590,Credit Card,Refunded
591,Debit Card,Completed
592,UPI,Refunded
593,Bank Transfer,Failed
594,Credit Card,Completed
595,Cash,Pending
596,Cash,Failed
597,Debit Card,Completed
598,Bank Transfer,Pending
599,Credit Card,Completed
600,Bank Transfer,Failed
601,Credit Card,Completed
602,Cash,Failed
603,Credit Card,Failed
604,Debit Card,Failed
605,UPI,Pending
606,Debit Card,Pending
607,Bank Transfer,Failed
608,UPI,Failed
609,Credit Card,Failed
610,Credit Card,Refunded
611,UPI,Refunded
612,UPI,Failed
613,Debit Card,Refunded
614,Bank Transfer,Failed
615,Bank Transfer,Completed
616,Digital Wallet,Pending
617,Digital Wallet,Failed
618,Credit Card,Failed
619,Digital Wallet,Completed
620,Bank Transfer,Completed
621,UPI,Pending
622,Cash,Pending
623,Digital Wallet,Pending
624,Bank Transfer,Pending
625,Digital Wallet,Pending
626,Digital Wallet,Refunded
627,Cash,Completed
628,Digital Wallet,Pending
629,Bank Transfer,Failed
630,UPI,Pending
631,Digital Wallet,Completed
632,Debit Card,Completed
633,Debit Card,Failed
634,UPI,Completed
635,Debit Card,Completed
636,Debit Card,Completed
637,Cash,Completed
638,UPI,Refunded
639,Debit Card,Refunded
640,UPI,Failed
641,Cash,Failed
642,Debit Card,Refunded
643,Credit Card,Refunded
644,Bank Transfer,Failed
645,Credit Card,Refunded
646,UPI,Pending
647,Digital Wallet,Completed
648,Digital Wallet,Refunded
649,Digital Wallet,Pending
650,Debit Card,Failed
651,Cash,Completed
652,Credit Card,Failed
653,Digital Wallet,Completed
654,Credit Card,Completed
655,Credit Card,Completed
656,UPI,Completed
657,Cash,Completed
658,Digital Wallet,Refunded
659,UPI,Failed
660,Bank Transfer,Completed
661,Bank Transfer,Pending
662,Credit Card,Refunded
663,Digital Wallet,Pending
664,Bank Transfer,Refunded
665,Cash,Pending
666,Cash,Failed
667,Debit Card,Completed
668,UPI,Refunded
669,Digital Wallet,Pending
670,Cash,Refunded
671,Cash,Failed
672,Credit Card,Refunded
673,Digital Wallet,Pending
674,UPI,Completed
675,Credit Card,Pending
676,Credit Card,Refunded
677,Debit Card,Failed
678,Debit Card,Refunded
679,Credit Card,Refunded
680,Digital Wallet,Completed
681,Debit Card,Failed
682,Digital Wallet,Completed
683,Credit Card,Pending
684,Credit Card,Refunded
685,Bank Transfer,Pending
686,Debit Card,Refunded
687,Debit Card,Refunded
688,Debit Card,Failed
689,Debit Card,Pending
690,Cash,Pending
691,Debit Card,Refunded
692,Cash,Completed
693,Digital Wallet,Refunded
694,Credit Card,Pending
695,Bank Transfer,Failed
696,UPI,Pending
697,Cash,Failed
698,UPI,Completed
699,Cash,Failed
700,Bank Transfer,Failed
701,Credit Card,Completed
702,Cash,Refunded
703,Bank Transfer,Completed
704,Credit Card,Pending
705,Debit Card,Completed
706,Debit Card,Completed
707,Credit Card,Failed
708,Cash,Refunded
709,Bank Transfer,Failed
710,UPI,Pending
711,Bank Transfer,Refunded
712,Bank Transfer,Pending
713,Digital Wallet,Refunded
714,Credit Card,Failed
715,Credit Card,Pending
716,Cash,Refunded
717,Cash,Refunded
718,Bank Transfer,Pending
719,Bank Transfer,Pending
720,Digital Wallet,Failed
721,Cash,Refunded
722,Digital Wallet,Completed
723,Debit Card,Failed
724,UPI,Refunded
725,Digital Wallet,Failed
726,Credit Card,Failed
727,UPI,Pending
728,Credit Card,Refunded
729,Debit Card,Pending
730,UPI,Completed
731,UPI,Pending
732,Bank Transfer,Failed
733,Digital Wallet,Refunded
734,Cash,Failed
735,Digital Wallet,Refunded
736,UPI,Completed
737,Digital Wallet,Completed
738,UPI,Failed
739,Credit Card,Refunded
740,Digital Wallet,Pending
741,Digital Wallet,Failed
742,Digital Wallet,Refunded
743,UPI,Completed
744,Digital Wallet,Refunded
745,Digital Wallet,Pending
746,UPI,Failed
747,UPI,Refunded
748,Cash,Pending
749,Digital Wallet,Pending
750,Digital Wallet,Refunded
751,Cash,Completed
752,Cash,Refunded
753,Credit Card,Refunded
754,Digital Wallet,Refunded
755,UPI,Failed
756,Debit Card,Refunded
757,Debit Card,Failed
758,Bank Transfer,Completed
759,Debit Card,Failed
760,Bank Transfer,Refunded
761,Bank Transfer,Completed
762,Credit Card,Pending
763,Digital Wallet,Completed
764,Cash,Failed
765,Credit Card,Refunded
766,Cash,Completed
767,Debit Card,Pending
768,Digital Wallet,Pending
769,Cash,Failed
770,Credit Card,Completed
771,Credit Card,Refunded
772,Credit Card,Refunded
773,Cash,Refunded
774,Bank Transfer,Completed
775,UPI,Completed
776,Cash,Completed
777,Bank Transfer,Pending
778,Debit Card,Failed
779,UPI,Completed
780,Debit Card,Refunded
781,Debit Card,Pending
782,Bank Transfer,Pending
783,Digital Wallet,Refunded
784,Cash,Completed
785,Credit Card,Pending
786,Bank Transfer,Pending
787,Cash,Completed
788,Digital Wallet,Completed
789,Debit Card,Completed
790,Bank Transfer,Completed
791,Digital Wallet,Completed
792,Debit Card,Pending
793,Cash,Refunded
794,Digital Wallet,Refunded
795,Debit Card,Pending
796,Bank Transfer,Pending
797,Debit Card,Completed
798,Digital Wallet,Pending
799,Bank Transfer,Pending
800,Digital Wallet,Failed
801,Cash,Refunded
802,Cash,Refunded
803,UPI,Completed
804,Cash,Failed
805,UPI,Completed
806,Cash,Failed
807,Bank Transfer,Failed
808,Cash,Pending
809,Bank Transfer,Refunded
810,Bank Transfer,Failed
811,Cash,Completed
812,Debit Card,Refunded
813,Digital Wallet,Completed
814,Bank Transfer,Failed
815,Cash,Refunded
816,Digital Wallet,Failed
817,Bank Transfer,Refunded
818,Bank Transfer,Failed
819,Credit Card,Pending
820,Bank Transfer,Refunded
821,Debit Card,Pending
822,UPI,Completed
823,Credit Card,Pending
824,Bank Transfer,Failed
825,Digital Wallet,Failed
826,Cash,Failed
827,Bank Transfer,Pending
828,Credit Card,Completed
829,Bank Transfer,Pending
830,Bank Transfer,Pending
831,Cash,Pending
832,Bank Transfer,Refunded
833,Cash,Failed
834,Credit Card,Completed
835,Bank Transfer,Pending
836,Credit Card,Refunded
837,Digital Wallet,Pending
838,Digital Wallet,Pending
839,Digital Wallet,Refunded
840,Cash,Refunded
841,UPI,Failed
842,Debit Card,Failed
843,Cash,Completed
844,UPI,Failed
845,Bank Transfer,Pending
846,UPI,Refunded
847,Cash,Failed
848,Debit Card,Completed
849,UPI,Refunded
850,Cash,Pending
851,Cash,Refunded
852,Bank Transfer,Completed
853,UPI,Refunded
854,UPI,Refunded
855,Credit Card,Pending
856,Bank Transfer,Failed
857,UPI,Completed
858,Bank Transfer,Failed
859,Cash,Refunded
860,Bank Transfer,Failed
861,Bank Transfer,Refunded
862,Debit Card,Failed
863,Bank Transfer,Completed
864,UPI,Refunded
865,Debit Card,Failed
866,Credit Card,Completed
867,Debit Card,Completed
868,UPI,Completed
869,Credit Card,Refunded
870,UPI,Refunded
871,Cash,Completed
872,Digital Wallet,Pending
873,Bank Transfer,Pending
874,Digital Wallet,Failed
875,Debit Card,Failed
876,Cash,Failed
877,Bank Transfer,Completed
878,Bank Transfer,Completed
879,Bank Transfer,Refunded
880,Digital Wallet,Pending
881,UPI,Refunded
882,Debit Card,Pending
883,Bank Transfer,Pending
884,UPI,Pending
885,Cash,Completed
886,Credit Card,Failed
887,UPI,Pending
888,Debit Card,Failed
889,Cash,Completed
890,Cash,Pending
891,Credit Card,Failed
892,Debit Card,Pending
893,Debit Card,Pending
894,Bank Transfer,Refunded
895,UPI,Failed
896,Credit Card,Refunded
897,Digital Wallet,Pending
898,Digital Wallet,Refunded
899,Debit Card,Failed
900,Debit Card,Completed
901,Debit Card,Completed
902,Digital Wallet,Failed
903,Bank Transfer,Completed
904,Digital Wallet,Refunded
905,Credit Card,Pending
906,Bank Transfer,Refunded
907,UPI,Pending
908,Debit Card,Completed
909,Credit Card,Failed
910,Debit Card,Completed
911,UPI,Pending
912,UPI,Failed
913,Cash,Completed
914,UPI,Completed
915,UPI,Completed
916,Credit Card,Failed
917,Bank Transfer,Completed
918,Credit Card,Refunded
919,Cash,Pending
920,Digital Wallet,Refunded
921,Bank Transfer,Pending
922,Digital Wallet,Pending
923,Debit Card,Failed
924,Digital Wallet,Refunded
925,Bank Transfer,Completed
926,Bank Transfer,Pending
927,Digital Wallet,Pending
928,Digital Wallet,Completed
929,UPI,Completed
930,Bank Transfer,Completed
931,Credit Card,Pending
932,Bank Transfer,Completed
933,Bank Transfer,Completed
934,Credit Card,Refunded
935,Credit Card,Pending
936,Cash,Completed
937,UPI,Refunded
938,Bank Transfer,Pending
939,UPI,Failed
940,Digital Wallet,Refunded
941,UPI,Failed
942,Cash,Completed
943,Debit Card,Refunded
944,Debit Card,Completed
945,UPI,Completed
946,Credit Card,Refunded
947,Credit Card,Refunded
948,Debit Card,Pending
949,Digital Wallet,Failed
950,UPI,Pending
951,Credit Card,Completed
952,Debit Card,Failed
953,UPI,Pending
954,UPI,Completed
955,UPI,Refunded
956,Bank Transfer,Completed
957,Debit Card,Completed
958,Cash,Failed
959,Digital Wallet,Completed
960,Debit Card,Refunded
961,Cash,Completed
962,Digital Wallet,Pending
963,Cash,Pending
964,Credit Card,Failed
965,Credit Card,Completed
966,Cash,Pending
967,Bank Transfer,Refunded
968,Digital Wallet,Pending
969,UPI,Pending
970,Bank Transfer,Completed
971,Bank Transfer,Completed
972,Cash,Pending
973,Debit Card,Pending
974,Cash,Pending
975,Credit Card,Failed
976,Digital Wallet,Refunded
977,Digital Wallet,Pending
978,Credit Card,Pending
979,Credit Card,Completed
980,UPI,Completed
981,Cash,Failed
982,UPI,Pending
983,Cash,Completed
984,Cash,Completed
985,Digital Wallet,Refunded
986,UPI,Pending
987,Credit Card,Completed
988,Digital Wallet,Completed
989,Digital Wallet,Failed
990,Cash,Completed
991,Credit Card,Pending
992,Credit Card,Failed
993,Credit Card,Failed
994,Cash,Refunded
995,Debit Card,Refunded
996,Credit Card,Failed
997,Debit Card,Completed
998,UPI,Refunded
999,UPI,Pending
1000,Bank Transfer,Pending
1001,Debit Card,Refunded
1002,UPI,Refunded
1003,Credit Card,Failed
1004,Debit Card,Pending
1005,Cash,Refunded
1006,Digital Wallet,Failed
1007,Bank Transfer,Pending
1008,Cash,Completed
1009,Bank Transfer,Refunded
1010,Bank Transfer,Pending
1011,UPI,Failed
1012,Bank Transfer,Completed
1013,Bank Transfer,Pending
1014,Bank Transfer,Failed
1015,Debit Card,Completed
1016,Debit Card,Completed
1017,Cash,Completed
1018,Debit Card,Failed
1019,Digital Wallet,Refunded
1020,UPI,Failed
1021,Debit Card,Completed
1022,Credit Card,Refunded
1023,Debit Card,Failed
1024,Cash,Refunded
1025,Credit Card,Refunded
1026,UPI,Pending
1027,Debit Card,Completed
1028,Digital Wallet,Completed
1029,Digital Wallet,Pending
1030,Digital Wallet,Pending
1031,Digital Wallet,Pending
1032,Cash,Failed
1033,UPI,Refunded
1034,UPI,Refunded
1035,Cash,Refunded
1036,Cash,Failed
1037,Debit Card,Failed
1038,Digital Wallet,Pending
1039,Credit Card,Failed
1040,Digital Wallet,Failed
1041,Bank Transfer,Completed
1042,Bank Transfer,Pending
1043,Bank Transfer,Pending
1044,Digital Wallet,Failed
1045,Debit Card,Refunded
1046,Credit Card,Pending
1047,UPI,Failed
1048,Credit Card,Failed
1049,Bank Transfer,Failed
1050,Credit Card,Failed
1051,Cash,Pending
1052,Cash,Pending
1053,Cash,Failed
1054,Bank Transfer,Completed
1055,Cash,Failed
1056,UPI,Refunded
1057,UPI,Pending
1058,UPI,Completed
1059,Debit Card,Completed
1060,UPI,Pending
1061,Cash,Failed
1062,Cash,Failed
1063,Bank Transfer,Completed
1064,Cash,Failed
1065,Bank Transfer,Refunded
1066,Cash,Failed
1067,Cash,Pending
1068,Credit Card,Failed
1069,Credit Card,Failed
1070,Digital Wallet,Failed
1071,Credit Card,Failed
1072,Credit Card,Failed
1073,UPI,Failed
1074,Bank Transfer,Pending
1075,Debit Card,Completed
1076,Digital Wallet,Completed
1077,Bank Transfer,Pending
1078,Debit Card,Failed
1079,Debit Card,Pending
1080,Digital Wallet,Completed
1081,Debit Card,Refunded
1082,Debit Card,Refunded
1083,Bank Transfer,Pending
1084,Credit Card,Pending
1085,Credit Card,Pending
1086,Bank Transfer,Pending
1087,Credit Card,Completed
1088,Cash,Completed
1089,Digital Wallet,Completed
1090,UPI,Failed
1091,Cash,Pending
1092,Credit Card,Refunded
1093,Debit Card,Pending
1094,Credit Card,Refunded
1095,Digital Wallet,Pending
1096,Bank Transfer,Refunded
1097,Bank Transfer,Completed
1098,UPI,Completed
1099,Digital Wallet,Failed
1100,Digital Wallet,Failed
1101,Bank Transfer,Completed
1102,Credit Card,Refunded
1103,Bank Transfer,Completed
1104,UPI,Completed
1105,Credit Card,Pending
1106,Cash,Completed
1107,Credit Card,Completed
1108,Cash,Completed
1109,UPI,Refunded
1110,Cash,Pending
1111,Digital Wallet,Refunded
1112,Credit Card,Refunded
1113,Debit Card,Refunded
1114,UPI,Completed
1115,Cash,Refunded
1116,Bank Transfer,Completed
1117,Credit Card,Refunded
1118,Digital Wallet,Refunded
1119,Digital Wallet,Completed
1120,Debit Card,Completed
1121,Bank Transfer,Failed
1122,Debit Card,Pending
1123,Bank Transfer,Failed
1124,Digital Wallet,Pending
1125,Digital Wallet,Failed
1126,Bank Transfer,Pending
1127,Cash,Completed
