feedback_id,customer_id,product_id,rating,review_comment,feedback_date,sentiment_score
54,7049,744,3,Average,2023-08-25,0.76
55,5709,376,5,Good,2023-06-07,0.57
56,9983,337,5,Bad,2023-09-30,0.62
57,7307,714,1,Not satisfied,2023-10-29,0.76
58,5437,547,5,Average,2023-12-21,0.34
59,1674,842,5,Excellent,2023-02-10,0.44
60,6903,25,1,Average,2023-11-05,0.34
61,7255,238,4,Poor,2023-09-23,0.36
62,8212,410,4,Loved it,2023-05-25,0.13
63,3539,674,3,Excellent,2023-07-18,0.42
64,7554,311,4,Excellent,2023-01-26,0.91
65,4421,781,1,Excellent,2023-01-17,0.7
66,5801,686,2,Not satisfied,2023-12-05,0.53
67,9278,276,3,Excellent,2023-11-22,0.71
68,5575,341,3,Excellent,2023-12-04,0.32
69,486,663,3,Excellent,2023-07-13,0.7
70,610,608,5,Poor,2023-08-24,0.39
71,8083,994,4,Average,2023-12-28,0.4
72,8149,284,2,Loved it,2023-01-17,0.75
73,5595,608,5,Excellent,2023-11-24,0.18
74,2904,569,5,Bad,2023-03-27,0.36
75,1766,433,4,Good,2023-01-28,0.41
76,7132,769,4,Bad,2023-02-22,0.77
77,7905,637,2,Not satisfied,2023-05-23,0.42
78,4625,867,2,Loved it,2023-01-02,0.54
79,4086,554,3,Bad,2023-06-03,0.56
80,8828,271,5,Loved it,2023-05-01,0.31
81,6188,578,3,Excellent,2023-04-14,0.71
82,7646,284,4,Poor,2023-03-25,0.38
83,5447,271,3,Bad,2023-07-13,0.72
84,8907,798,3,Not satisfied,2023-08-30,0.11
85,6054,912,1,Average,2023-01-05,0.91
86,6800,734,1,Excellent,2023-09-06,0.99
87,8654,130,5,Not satisfied,2023-02-16,0.83
88,4076,882,2,Good,2023-04-07,0.36
89,3904,473,3,Loved it,2023-08-18,0.54
90,7156,661,1,Average,2023-09-03,0.8
91,8380,159,3,Good,2023-10-22,0.62
92,6834,9,3,Average,2023-08-29,0.33
93,2816,696,5,Average,2023-01-14,0.25
94,5121,549,3,Good,2023-05-02,0.64
95,5695,181,5,Loved it,2023-12-13,0.79
96,2473,258,1,Excellent,2023-03-07,0.61
97,443,841,5,Loved it,2023-08-16,0.03
98,4701,448,2,Excellent,2023-07-04,0.15
99,7244,315,3,Average,2023-03-14,0.73
100,4659,399,3,Excellent,2023-05-29,0.66
101,1226,698,3,Good,2023-06-14,1.0
102,6792,148,4,Bad,2023-10-22,0.42
103,9043,299,5,Bad,2023-07-19,0.86
104,1244,439,2,Poor,2023-11-17,0.34
105,9967,822,3,Excellent,2023-02-24,0.79
106,8417,584,4,Poor,2023-11-20,0.45
107,50,250,2,Bad,2023-09-27,0.2
108,297,300,1,Good,2023-06-19,0.54
109,1071,959,2,Excellent,2023-08-05,0.45
110,8124,434,5,Good,2023-04-14,0.65
111,2540,10,1,Good,2023-10-28,0.59
112,7759,484,3,Poor,2023-12-02,0.73
113,2527,237,2,Excellent,2023-05-27,0.26
114,6767,726,4,Not satisfied,2023-01-03,0.78
115,8800,584,2,Average,2023-07-21,0.02
116,4897,433,4,Not satisfied,2023-08-24,0.67
117,6008,239,4,Poor,2023-09-30,0.56
118,5905,811,2,Excellent,2023-10-09,0.72
119,5526,223,2,Loved it,2023-10-10,0.83
120,9132,211,3,Loved it,2023-04-02,0.7
121,7739,130,2,Excellent,2023-12-21,0.61
122,9238,544,2,Bad,2023-06-15,0.26
123,2795,329,2,Average,2023-03-14,0.72
124,4800,456,5,Average,2023-02-26,0.34
125,4606,236,1,Loved it,2023-09-11,0.43
126,98,355,2,Average,2023-05-17,0.99
127,7177,558,3,Excellent,2023-11-26,0.91
128,5740,898,5,Poor,2023-12-08,0.09
129,4185,164,5,Loved it,2023-12-13,0.55
130,5488,618,2,Bad,2023-08-31,0.78
131,5772,975,4,Good,2023-07-14,0.11
132,6914,590,4,Excellent,2023-06-20,0.95
133,9132,621,3,Good,2023-03-21,0.29
134,6854,462,2,Not satisfied,2023-09-12,0.98
135,3136,158,4,Not satisfied,2023-04-28,0.22
136,3208,728,4,Excellent,2023-12-12,0.14
137,1386,814,5,Poor,2023-03-04,0.03
138,7517,906,5,Loved it,2023-02-19,0.37
139,7376,261,2,Average,2023-08-15,0.9
140,2171,997,2,Loved it,2023-06-11,0.38
141,7482,456,3,Good,2023-05-01,0.58
142,7584,405,2,Not satisfied,2023-08-25,0.45
143,7121,830,4,Bad,2023-03-26,0.08
144,299,130,1,Good,2023-04-10,0.24
145,5681,105,2,Bad,2023-06-09,0.72
146,549,632,5,Poor,2023-02-19,0.76
147,535,49,1,Average,2023-09-05,0.05
148,4116,203,1,Not satisfied,2023-05-01,0.56
149,9312,156,5,Good,2023-03-26,0.39
150,1938,632,4,Poor,2023-08-24,0.07
151,3118,189,4,Good,2023-12-11,0.87
152,2198,286,2,Bad,2023-02-19,0.42
153,421,3,1,Loved it,2023-09-30,0.23
154,3049,790,3,Loved it,2023-09-08,0.97
155,5608,440,3,Average,2023-04-12,0.64
156,7164,678,3,Loved it,2023-12-29,0.94
157,6503,359,4,Average,2023-02-28,0.37
158,3257,921,1,Average,2023-02-20,0.46
159,719,944,1,Excellent,2023-01-28,0.2
160,3958,352,4,Excellent,2023-05-19,0.09
161,3122,980,5,Bad,2023-05-13,0.52
162,3124,150,3,Not satisfied,2023-02-09,0.29
163,8092,91,5,Average,2023-07-07,0.82
164,2244,711,3,Excellent,2023-06-23,0.38
165,7248,382,1,Average,2023-10-16,0.45
166,4995,169,1,Poor,2023-08-14,0.68
167,4358,640,2,Loved it,2023-08-10,0.48
168,7302,219,4,Loved it,2023-05-08,0.34
169,4819,171,2,Poor,2023-05-09,0.18
170,5470,420,4,Bad,2023-11-15,0.73
171,6285,818,3,Not satisfied,2023-03-04,0.47
172,391,801,2,Not satisfied,2023-05-31,0.46
173,7794,964,4,Poor,2023-04-13,0.63
174,6662,104,4,Bad,2023-01-31,0.26
175,913,294,5,Poor,2023-05-07,0.12
176,3782,366,1,Excellent,2023-04-14,0.82
177,7989,356,2,Loved it,2023-06-15,0.75
178,8057,656,3,Loved it,2023-11-21,0.41
179,9023,933,2,Not satisfied,2023-11-20,0.3
180,8603,701,1,Good,2023-11-11,0.57
181,1364,17,2,Bad,2023-02-15,0.52
182,5246,61,2,Not satisfied,2023-09-07,0.22
183,6693,676,3,Not satisfied,2023-09-25,0.51
184,1680,385,5,Bad,2023-04-22,0.22
185,726,643,5,Good,2023-07-12,0.98
186,5911,199,5,Good,2023-01-02,0.84
187,7439,640,1,Average,2023-05-16,0.51
188,4161,452,2,Good,2023-07-02,0.14
189,6232,376,1,Bad,2023-05-13,0.67
190,3431,528,5,Bad,2023-09-02,0.51
191,97,562,3,Loved it,2023-05-24,0.96
192,5525,223,3,Poor,2023-03-13,0.31
193,859,933,4,Loved it,2023-02-08,0.55
194,9425,679,4,Excellent,2023-03-14,0.07
195,8967,282,2,Poor,2023-11-30,0.27
196,6567,158,5,Average,2023-06-19,0.52
197,2302,640,1,Not satisfied,2023-07-20,0.83
198,3414,10,2,Excellent,2023-04-02,0.19
199,106,158,5,Average,2023-09-29,0.32
200,4773,424,2,Loved it,2023-06-08,0.51
201,3177,137,3,Not satisfied,2023-12-11,0.71
202,4820,558,4,Loved it,2023-05-21,0.4
203,3895,134,1,Average,2023-01-01,0.43
204,2813,431,1,Average,2023-08-27,0.21
205,6051,59,1,Loved it,2023-05-25,0.55
206,2683,661,5,Good,2023-03-15,0.39
207,1532,16,1,Good,2023-02-21,0.56
208,7936,94,2,Poor,2023-12-06,0.39
209,7792,126,4,Bad,2023-02-01,0.16
210,191,289,2,Good,2023-01-29,0.45
211,9986,713,4,Bad,2023-09-06,0.74
212,9140,865,3,Not satisfied,2023-06-25,0.04
213,7837,51,5,Good,2023-07-18,0.84
214,3864,957,1,Poor,2023-10-07,0.32
215,5797,500,2,Good,2023-09-22,0.53
216,1014,986,1,Not satisfied,2023-02-07,0.51
217,6482,276,5,Poor,2023-06-19,0.08
218,1235,256,1,Excellent,2023-01-19,0.1
219,93,691,1,Average,2023-12-16,0.56
220,7772,146,5,Poor,2023-11-16,0.32
221,6507,475,4,Excellent,2023-04-11,0.87
222,7079,277,2,Not satisfied,2023-06-22,0.61
223,3659,904,2,Good,2023-11-26,0.57
224,1058,779,4,Good,2023-08-31,0.71
225,6019,898,4,Bad,2023-01-27,0.32
226,1980,208,4,Bad,2023-01-10,0.45
227,5543,335,5,Excellent,2023-01-01,0.3
228,7905,567,1,Bad,2023-07-23,0.08
229,5248,352,5,Not satisfied,2023-05-02,0.51
230,3542,841,5,Not satisfied,2023-08-26,0.56
231,3021,192,3,Excellent,2023-01-25,0.57
232,9087,723,1,Loved it,2023-06-20,0.33
233,2580,388,5,Not satisfied,2023-06-08,0.95
234,9910,659,1,Loved it,2023-05-29,0.04
235,6739,718,4,Poor,2023-11-11,0.73
236,6587,115,4,Average,2023-08-17,0.05
237,7452,786,1,Not satisfied,2023-11-03,0.19
238,8891,441,1,Excellent,2023-07-01,0.49
239,2877,695,1,Good,2023-12-12,0.51
240,9520,729,3,Bad,2023-02-18,0.74
241,7501,747,3,Not satisfied,2023-06-30,0.27
242,6334,94,1,Good,2023-01-27,0.78
243,7779,338,4,Bad,2023-01-22,0.32
244,8984,654,5,Bad,2023-05-22,0.63
245,3872,774,5,Not satisfied,2023-01-06,0.56
246,6226,317,5,Not satisfied,2023-06-20,0.19
247,5850,170,4,Not satisfied,2023-01-24,0.58
248,5322,301,4,Bad,2023-04-12,0.48
249,9089,783,1,Poor,2023-04-10,0.73
250,7537,153,2,Average,2023-10-27,0.2
251,9099,155,4,Good,2023-10-25,0.56
252,7433,810,3,Not satisfied,2023-06-03,0.52
253,8422,753,1,Not satisfied,2023-11-10,0.94
254,4342,817,4,Good,2023-09-30,0.26
255,9065,648,2,Excellent,2023-07-06,0.44
256,7972,610,5,Good,2023-11-03,0.27
257,7119,188,5,Loved it,2023-06-20,0.49
258,2256,894,4,Excellent,2023-05-11,0.2
259,9010,770,4,Bad,2023-08-05,0.64
260,9069,600,4,Poor,2023-01-03,0.72
261,9266,269,1,Bad,2023-12-26,0.19
262,8606,865,4,Poor,2023-04-18,0.55
263,163,230,2,Loved it,2023-07-06,0.76
264,5047,442,4,Excellent,2023-03-12,0.84
265,631,276,1,Average,2023-04-16,0.63
266,2957,177,3,Poor,2023-03-30,0.36
267,3924,226,1,Loved it,2023-02-09,0.91
268,4861,424,5,Loved it,2023-10-29,0.97
269,6595,949,5,Average,2023-01-27,0.86
270,416,140,3,Average,2023-09-24,0.58
271,3620,676,1,Not satisfied,2023-06-27,0.6
272,9469,397,2,Not satisfied,2023-11-06,0.98
273,3675,155,3,Excellent,2023-02-12,0.49
274,7051,671,1,Good,2023-10-04,0.09
275,3804,853,3,Loved it,2023-01-07,0.61
276,3327,66,5,Good,2023-11-22,0.26
277,171,779,4,Good,2023-10-29,0.34
278,300,773,1,Not satisfied,2023-11-12,0.54
279,7844,677,4,Poor,2023-11-15,0.93
280,8747,129,5,Excellent,2023-01-09,0.19
281,9310,205,4,Bad,2023-01-25,0.47
282,1473,721,5,Loved it,2023-09-28,0.41
283,4486,35,3,Loved it,2023-02-18,0.66
284,5644,794,3,Good,2023-03-17,0.31
285,107,354,4,Good,2023-05-18,0.84
286,9554,481,1,Bad,2023-02-20,0.51
287,723,788,5,Average,2023-03-03,0.2
288,1474,857,3,Not satisfied,2023-05-17,0.31
289,5719,643,3,Excellent,2023-05-03,0.45
290,5615,76,3,Excellent,2023-03-23,0.1
291,5106,558,2,Not satisfied,2023-07-13,0.14
292,2029,864,1,Average,2023-09-19,0.62
293,4068,319,5,Loved it,2023-06-04,0.95
294,2287,136,2,Loved it,2023-02-14,0.84
295,8816,802,2,Not satisfied,2023-07-04,0.37
296,9943,334,4,Poor,2023-06-13,0.82
297,798,862,4,Poor,2023-12-03,0.23
298,148,409,5,Poor,2023-02-09,0.76
299,9898,730,4,Not satisfied,2023-09-18,0.53
300,8031,819,5,Poor,2023-11-17,0.92
301,7397,32,1,Average,2023-03-21,0.07
302,8035,212,1,Good,2023-11-19,0.7
303,5398,117,4,Loved it,2023-12-30,0.7
304,2076,149,3,Poor,2023-11-01,0.96
305,5076,655,3,Bad,2023-05-27,0.76
306,3786,889,1,Loved it,2023-02-04,0.55
307,5033,43,4,Bad,2023-06-23,1.0
308,4592,245,5,Poor,2023-03-15,0.5
309,197,598,1,Average,2023-08-21,0.52
310,6414,691,4,Bad,2023-08-25,0.89
311,3288,800,5,Average,2023-06-01,0.6
312,4630,161,5,Not satisfied,2023-03-22,0.21
313,7387,206,5,Bad,2023-07-01,0.52
314,1361,940,4,Not satisfied,2023-01-28,0.88
315,9362,776,5,Poor,2023-06-19,0.38
316,9126,536,4,Not satisfied,2023-08-02,0.9
317,3655,472,4,Average,2023-07-27,0.97
318,8762,765,5,Excellent,2023-03-21,0.82
319,639,245,2,Not satisfied,2023-11-03,0.08
320,5662,763,1,Loved it,2023-09-15,0.82
321,688,610,4,Loved it,2023-08-28,0.57
322,5283,667,5,Not satisfied,2023-08-26,0.01
323,3351,1,2,Excellent,2023-12-16,0.47
324,1281,536,1,Good,2023-04-03,0.49
325,6039,699,4,Not satisfied,2023-04-30,0.95
326,1691,859,1,Loved it,2023-06-15,0.6
327,4993,886,3,Bad,2023-05-19,0.88
328,7860,776,5,Bad,2023-04-17,0.91
329,1176,102,2,Average,2023-05-18,0.08
330,8384,113,1,Poor,2023-08-31,0.17
331,3997,84,4,Poor,2023-09-28,0.18
332,3025,660,5,Good,2023-07-17,0.04
333,3914,41,2,Poor,2023-01-24,0.09
334,9203,754,2,Excellent,2023-09-18,0.29
335,4527,111,1,Loved it,2023-08-09,0.71
336,3700,43,5,Loved it,2023-05-22,0.98
337,6711,787,3,Not satisfied,2023-11-03,0.52
338,9777,244,4,Poor,2023-08-13,0.29
339,5428,221,1,Good,2023-01-28,0.1
340,7304,375,5,Bad,2023-11-24,0.39
341,1588,667,1,Good,2023-05-17,0.55
342,6761,201,2,Bad,2023-12-19,0.74
343,4733,578,5,Not satisfied,2023-03-07,0.06
344,6336,646,5,Not satisfied,2023-06-01,0.06
345,8513,678,4,Poor,2023-02-21,0.42
346,4477,621,3,Poor,2023-10-01,0.75
347,4470,980,5,Not satisfied,2023-07-12,0.42
348,4344,322,2,Bad,2023-09-02,0.12
349,3960,80,3,Excellent,2023-03-27,0.52
350,7858,300,5,Good,2023-12-28,0.82
351,4428,23,3,Average,2023-07-20,0.2
352,8337,759,1,Good,2023-03-06,0.19
353,2215,59,4,Not satisfied,2023-03-31,0.17
354,4527,330,1,Not satisfied,2023-12-16,0.84
355,7672,26,2,Poor,2023-12-18,0.85
356,6204,575,2,Bad,2023-03-06,0.94
357,2586,501,1,Excellent,2023-09-26,0.79
358,3587,220,5,Poor,2023-04-05,0.86
359,6911,5,3,Poor,2023-11-19,0.86
360,2632,793,2,Good,2023-11-11,0.96
361,9226,920,5,Not satisfied,2023-06-29,0.87
362,267,347,5,Excellent,2023-11-22,0.82
363,2103,564,2,Good,2023-10-12,0.54
364,1632,297,2,Poor,2023-02-11,0.07
365,2565,920,2,Loved it,2023-06-18,0.44
366,1504,440,4,Average,2023-02-17,0.99
367,8039,16,1,Loved it,2023-09-04,0.42
368,1691,249,2,Loved it,2023-12-18,0.59
369,1739,283,2,Not satisfied,2023-05-06,0.57
370,7247,101,4,Excellent,2023-11-30,0.1
371,6528,510,3,Poor,2023-01-18,0.27
372,9577,272,1,Loved it,2023-08-07,0.42
373,3087,306,5,Poor,2023-07-10,0.06
374,1906,43,5,Loved it,2023-04-23,0.78
375,3217,269,4,Excellent,2023-02-24,0.72
376,6399,220,4,Excellent,2023-11-01,0.61
377,5596,766,1,Good,2023-08-07,0.78
378,993,386,4,Poor,2023-12-23,0.81
379,5235,516,3,Loved it,2023-02-04,0.93
380,7951,232,1,Excellent,2023-03-01,0.43
381,4045,636,4,Not satisfied,2023-08-01,0.38
382,2986,383,5,Average,2023-08-10,0.05
383,256,998,2,Good,2023-10-19,0.61
384,74,637,4,Good,2023-01-26,0.12
385,8361,855,5,Excellent,2023-05-08,0.09
386,3061,892,3,Good,2023-06-01,0.13
387,1890,911,1,Loved it,2023-12-18,0.77
388,5059,419,1,Loved it,2023-02-23,0.51
389,4847,686,1,Not satisfied,2023-08-09,0.31
390,8959,525,3,Average,2023-12-27,0.73
391,1751,760,4,Bad,2023-10-25,0.62
392,1272,300,4,Poor,2023-03-30,0.06
393,2444,897,5,Poor,2023-05-02,0.89
394,3801,217,1,Excellent,2023-12-06,0.07
395,2832,782,5,Not satisfied,2023-08-24,0.9
396,3412,485,4,Average,2023-06-27,0.19
397,9820,495,1,Good,2023-09-06,0.4
398,1050,200,2,Not satisfied,2023-08-01,0.97
399,8293,9,4,Loved it,2023-08-13,0.28
400,1198,908,5,Not satisfied,2023-11-17,0.06
401,2761,857,5,Excellent,2023-02-16,0.48
402,4961,77,3,Loved it,2023-07-14,0.1
403,9093,56,2,Bad,2023-01-17,0.32
404,781,559,2,Good,2023-04-11,0.02
405,9240,665,4,Not satisfied,2023-04-09,0.05
406,8947,352,5,Average,2023-05-21,0.26
407,9051,876,2,Average,2023-12-23,0.84
408,7722,437,1,Poor,2023-04-12,0.18
409,4247,329,4,Poor,2023-05-06,0.02
410,5876,908,2,Excellent,2023-06-14,0.04
411,8636,223,5,Bad,2023-05-11,0.04
412,2588,364,2,Excellent,2023-03-03,0.9
413,4903,640,5,Poor,2023-09-19,0.17
414,25,657,4,Loved it,2023-01-07,0.88
415,3069,421,5,Loved it,2023-02-17,0.99
416,3227,186,3,Loved it,2023-03-20,0.74
417,7005,47,1,Excellent,2023-03-16,0.19
418,9120,282,5,Excellent,2023-03-08,0.52
419,3826,96,4,Good,2023-12-02,0.77
420,2273,557,1,Good,2023-09-02,0.61
421,4264,939,2,Not satisfied,2023-08-17,0.53
422,5420,704,5,Average,2023-10-03,0.78
423,6782,896,1,Not satisfied,2023-11-15,0.71
424,2182,1000,2,Loved it,2023-07-30,0.22
425,1760,116,5,Poor,2023-09-10,0.67
426,3335,532,3,Bad,2023-02-19,0.05
427,4241,104,3,Bad,2023-06-01,0.16
428,2709,374,3,Not satisfied,2023-09-10,0.5
429,7882,718,4,Loved it,2023-02-13,0.2
430,3185,430,4,Not satisfied,2023-07-24,0.95
431,6044,867,2,Good,2023-08-09,0.27
432,7121,437,2,Not satisfied,2023-03-30,0.78
433,6892,761,1,Poor,2023-06-11,0.2
434,971,401,1,Good,2023-12-25,0.81
435,589,759,2,Average,2023-04-02,0.37
436,2159,10,5,Average,2023-05-13,0.23
437,8469,369,2,Excellent,2023-12-13,0.59
438,6248,86,2,Excellent,2023-03-03,0.65
439,3991,297,5,Poor,2023-08-31,0.07
440,2438,713,2,Bad,2023-01-01,0.73
441,9245,964,4,Bad,2023-03-23,0.18
442,6518,647,5,Average,2023-02-13,0.07
443,1450,117,2,Not satisfied,2023-01-28,0.24
444,1271,694,3,Excellent,2023-08-23,0.41
445,4848,733,4,Loved it,2023-08-04,0.95
446,6447,595,4,Not satisfied,2023-06-16,0.14
447,1259,74,3,Excellent,2023-08-02,0.67
448,9594,980,1,Good,2023-08-06,0.94
449,3297,698,1,Excellent,2023-01-08,0.91
450,3433,111,1,Good,2023-10-30,0.77
451,8642,153,3,Poor,2023-02-10,0.41
452,5499,756,2,Average,2023-03-28,0.36
453,658,466,2,Not satisfied,2023-03-27,0.12
454,26,498,2,Excellent,2023-03-20,0.27
455,1123,48,3,Poor,2023-06-29,0.28
456,9667,328,3,Good,2023-04-17,0.16
457,4843,225,3,Loved it,2023-08-29,0.32
458,137,322,2,Not satisfied,2023-01-02,0.34
459,2755,890,1,Poor,2023-07-23,0.34
460,6198,23,3,Not satisfied,2023-08-22,0.3
461,4055,554,2,Loved it,2023-08-29,0.32
462,2087,633,1,Poor,2023-07-03,0.0
463,5126,710,4,Bad,2023-03-07,0.44
464,417,237,1,Average,2023-06-17,0.87
465,7563,319,1,Average,2023-09-06,0.29
466,3370,491,4,Good,2023-12-08,0.02
467,3185,853,4,Loved it,2023-05-05,0.95
468,6040,636,1,Loved it,2023-12-06,0.0
469,4311,585,5,Good,2023-10-10,0.73
470,928,564,5,Not satisfied,2023-08-24,0.18
471,6310,922,4,Bad,2023-03-08,0.6
472,5768,70,5,Poor,2023-07-19,0.67
473,7741,732,3,Poor,2023-02-08,0.69
474,4586,126,3,Poor,2023-12-26,0.16
475,7836,607,2,Bad,2023-10-26,0.36
476,2695,837,4,Excellent,2023-10-10,0.61
477,7921,983,2,Not satisfied,2023-11-14,0.91
478,1139,990,2,Excellent,2023-03-09,0.92
479,3079,411,2,Poor,2023-07-12,0.84
480,5773,346,1,Poor,2023-02-08,0.05
481,5471,173,4,Loved it,2023-05-13,0.93
482,2678,64,5,Bad,2023-10-27,0.21
483,3051,192,4,Average,2023-06-03,0.33
484,6894,387,3,Loved it,2023-04-06,0.41
485,4770,59,3,Loved it,2023-08-19,0.32
486,3234,636,5,Good,2023-08-11,0.01
487,9852,275,1,Not satisfied,2023-02-22,0.4
488,870,439,1,Bad,2023-06-05,0.25
489,6830,975,1,Not satisfied,2023-02-27,0.17
490,2666,326,2,Good,2023-04-24,0.83
491,6196,806,1,Bad,2023-12-04,0.71
492,4085,823,2,Loved it,2023-04-20,0.44
493,9438,956,2,Average,2023-11-24,0.06
494,4929,171,4,Average,2023-06-03,0.04
495,4996,555,2,Loved it,2023-03-07,0.59
496,9542,445,2,Loved it,2023-08-21,0.43
497,4986,635,1,Average,2023-11-05,0.51
498,6920,758,4,Good,2023-06-01,0.95
499,6777,737,2,Average,2023-11-14,0.53
500,3239,861,3,Poor,2023-12-27,0.68
501,3298,348,4,Bad,2023-12-25,0.59
502,5507,752,4,Excellent,2023-07-06,0.08
503,5918,626,3,Poor,2023-07-28,0.86
504,7118,320,4,Excellent,2023-04-15,0.34
505,9340,562,4,Good,2023-12-23,0.22
506,5498,29,1,Good,2023-11-08,0.33
507,8399,506,4,Poor,2023-03-22,0.21
508,2338,90,3,Loved it,2023-04-27,0.69
509,6193,615,2,Average,2023-12-16,0.53
510,5622,22,5,Excellent,2023-02-17,0.24
511,8009,872,3,Not satisfied,2023-05-07,0.29
512,2882,515,3,Excellent,2023-10-20,0.25
513,7210,43,5,Not satisfied,2023-09-12,0.82
514,9047,7,4,Not satisfied,2023-05-25,0.28
515,3518,596,5,Good,2023-05-05,0.78
516,2951,470,3,Bad,2023-01-21,0.18
517,1445,981,4,Excellent,2023-10-01,0.38
518,2318,757,5,Excellent,2023-12-15,0.69
519,7598,203,3,Not satisfied,2023-05-10,0.82
520,703,714,2,Excellent,2023-04-21,0.62
521,5507,776,5,Poor,2023-04-19,0.83
522,1803,519,4,Loved it,2023-03-17,0.15
523,8344,353,3,Bad,2023-12-02,0.75
524,5493,560,3,Not satisfied,2023-07-05,0.99
525,3540,817,1,Excellent,2023-08-30,0.8
526,5503,287,5,Not satisfied,2023-10-09,0.03
527,5455,115,5,Poor,2023-06-15,0.31
528,3007,693,5,Poor,2023-11-09,0.49
529,8861,631,1,Excellent,2023-07-02,0.11
530,7891,724,2,Excellent,2023-12-21,0.13
531,3011,359,2,Bad,2023-01-04,0.56
532,4129,714,5,Not satisfied,2023-06-27,0.97
533,4102,912,2,Bad,2023-06-11,0.99
534,8418,752,4,Excellent,2023-09-03,0.72
535,562,181,5,Good,2023-02-18,0.38
536,9850,438,2,Loved it,2023-08-01,0.22
537,30,868,3,Average,2023-12-04,0.96
538,9181,441,2,Poor,2023-07-07,0.64
539,819,271,3,Loved it,2023-09-09,0.6
540,229,848,4,Average,2023-07-16,0.11
541,4823,563,1,Bad,2023-11-12,0.71
542,3591,651,5,Bad,2023-11-04,0.79
543,9194,656,4,Good,2023-01-22,0.72
544,9780,907,3,Excellent,2023-06-26,0.78
545,9856,425,3,Not satisfied,2023-07-04,0.98
546,5649,776,3,Loved it,2023-10-02,0.52
547,8493,611,2,Loved it,2023-01-03,0.27
548,4604,713,2,Excellent,2023-04-24,0.9
549,7345,599,4,Good,2023-12-01,0.61
550,179,13,3,Loved it,2023-10-11,0.84
551,6390,967,2,Excellent,2023-02-03,0.05
552,4150,984,1,Poor,2023-04-26,0.69
553,9691,36,5,Not satisfied,2023-12-10,0.76
554,4493,582,5,Average,2023-04-21,0.15
555,3929,383,4,Loved it,2023-09-13,0.43
556,7830,529,3,Not satisfied,2023-12-12,0.99
557,5097,58,2,Excellent,2023-08-12,0.07
558,6608,329,3,Poor,2023-06-05,0.87
559,6200,875,5,Good,2023-11-18,0.08
560,8034,721,1,Poor,2023-05-04,0.39
561,9724,364,2,Not satisfied,2023-02-20,0.6
562,5474,379,2,Excellent,2023-05-19,0.25
563,2829,678,4,Good,2023-11-09,0.73
564,8328,97,5,Bad,2023-02-12,0.69
565,1514,347,2,Average,2023-12-02,0.33
566,1239,599,1,Poor,2023-12-20,0.87
567,4123,131,4,Excellent,2023-10-01,0.54
568,2634,688,3,Bad,2023-03-23,0.18
569,1319,732,3,Poor,2023-10-10,0.77
